case_label,serial_work_units,critical_path_units,workers_2_list_makespan_units,workers_4_list_makespan_units,workers_8_list_makespan_units
angular,29.6273,5.5669,15.0305,7.6452,5.5669
flex,20.0138,8.0854,10.3284,8.0854,8.0854
form,26.6858,6.501,13.3848,7.0,6.501
grid,21.638,8.0829,10.849,8.0829,8.0829
react-no-ts,18.3427,3.051,9.2053,4.6564,3.051
react,26.928,4.3866,13.5279,6.9866,4.3866
svelte,23.9903,4.321,12.0428,6.0255,4.321
table,22.5369,8.4093,11.2738,9.2093,8.4093
tailwind,39.2925,6.1178,19.8401,10.1284,6.1178
vue,21.8908,4.2618,11.029,5.8618,4.2618
